num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,1008.732666,11,961.31,15.106,3.9294,1.0722
2,1540.231812,11,1488.72,24.196,2.7094,1.0374
4,2689.864014,11,2620.47,43.222,4.0378,1.056
8,5030.98584,11,4923.56,83.622,2.7718,1.0371
16,8000.578125,11,7866.63,108.29,4.0792,1.0374
32,14913.645508,11,14711.2,177.21,3.8776,1.0435
64,28107.695312,13,27794.2,285.75,4.2255,1.0359
128,53185.050781,11,52669.4,490.57,4.0834,1.0481
256,108517.851562,11,107621,870.38,4.1939,1.0414
512,180153.578125,11,178698,1430,4.141,1.0324
1024,307677.71875,11,305230,2396.57,3.9902,1.0509
2048,504148.1875,11,499988,4131.05,4.2157,1.0748
4096,814522.375,11,807784,6709.28,4.2153,1.0834
8192,1355666.75,11,1.30E+06,10574.6,4.2051,1.0584
