num_vertices,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
128,26.032225,0,7.5746,2.4079,21.44,22.881
256,161.209152,0,22.205,3.6952,59.2,34.689
512,65.799873,0,58.986,4.7829,115.49,49.311
1024,149.285217,0,136.67,8.8504,226.94,78.046
2048,279.413422,2,262.88,10.507,458.3,139.58
4096,290.81662,4,278.52,3.7787,0.46259,0.15155
8192,491.046661,8,470.34,4.75,1.348,0.48713
16384,907.564697,22,865.05,6.6596,3.7265,1.1091
32768,2479.483887,40,2395.21,9.5905,8.4482,2.2037
65536,5915.390137,105,5742.04,24.894,13.958,4.4764
