num_threads,t_cuda,memcpy_dth,memcpy_htd,t_kernel1,t_kernel2
8192,45433.652344,216.60,110.29,47.230,45.658
4096,45465.179688,214.31,108.89,88.869,89.572
2048,44934.136719,215.99,109.89,170.69,162.94
1024,45391.960938,215.78,109.62,298.17,336.24
512,45798.558594,212.81,108.37,326.32,357.66
256,69227.664062,430.34,108.35,737.16,715.43
128,71199.453125,432.66,109.61,1148.01,1156.10
64,70689.382812,428.69,108.17,1965.63,1907.45
32,73744.335938,431.88,108.93,3244.00,3849.88
16,78999.062500,425.35,108.42,5178.35,7117.20
8,89237.843750,429.48,109.32,8878.34,13377.0
4,111571.500000,428.84,108.65,17769.2,25754.9
2,142808.828125,428.76,107.67,33987.8,41678.9
1,209391.109375,433.34,109.32,69677.6,70756.5
