num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,9397.386719,1676,3251.9,710.32,1953.74,220.11
2,10926.146484,1542,5734.82,1214.78,1932.14,221.51
4,16878.636719,1531,10880.8,2324.23,1920.21,220.48
8,29788.644531,1567,20973.5,4626.32,1922.53,219.25
16,53688.570312,1523,40859.4,9275.63,1906.28,218.28
32,68650.28125,1522,55041.2,9610.53,1929.65,219.58
64,98871.390625,1507,84801.1,10452.8,1945.33,219.01
128,161009.78125,1495,144411,12680.9,1898.37,217.33
256,286257.90625,1610,264143,16925.7,1921.15,217.03
512,539770.125,1556,508314,27339.4,1930.04,220.32
1024,645388.9375,1535,599469,42194.8,1908.91,218.24
2048,796979.1875,1615,718959,73206.8,2041.35,216.31
4096,959247.75,1665,825354,128525,1955.78,219.7
8192,1250857.375,1568,1000000,244979,1951.94,219.54
16384,1638133,1527,1200000,456699,1930.73,218.47
