num_vertex_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,518.672363,19,487.79,2.0462,1.8,0.52947
2,685.560425,19,654.87,3.776,1.3677,0.10656
4,1116.187866,19,1082.45,6.8661,1.6148,0.52601
8,2000.751953,19,1958.76,13.32,1.7113,0.5303
16,3522.320801,19,3468.79,26.863,1.4447,0.53395
32,5852.789062,21,5789.73,33.714,1.7369,0.52393
64,10704.62793,19,10624.2,52.209,1.6293,0.5294
128,19885.917969,19,19779.9,77.635,1.772,0.52748
256,39637.433594,19,39483.9,124.32,1.9033,0.54288
512,76716.085938,19,76475.1,213.17,1.7698,0.51917
1024,138434.515625,20,138025,378.74,1.8135,0.52861
2048,248144.984375,20,247489,625.15,1.7234,0.52771
4096,416350.125,19,415381,937.75,1.7017,0.51398
8192,693517.25,19,692021,1459.96,1.7246,0.5213
16384,1169853.875,19,1.20E+06,2057.26,1.9006,0.51756
