num_vertices_local,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
1,960.656555,22,900.98,6.4479,3.551,1.0947
2,1393.240112,21,1346.78,10.058,3.3635,1.1315
4,2452.651367,22,2393.86,18.675,2.9943,1.0987
8,4388.998047,22,4317.46,35.847,3.0284,1.1009
16,8022.85498,21,7914.19,72.43,4.0106,1.0924
32,12677.318359,21,12545.4,95.988,3.839,1.1914
64,23904.105469,21,23664.5,150.03,4.1807,1.0919
128,44628.105469,21,44319.4,248.34,3.7427,1.212
256,89325.648438,23,88887.6,399.93,4.127,1.1174
512,179812.890625,22,179129,641.38,4.3071,1.1431
1024,324024.71875,22,322931,1032.11,4.2244,0.52861
2048,572463.6875,21,570716,1694.91,4.18,1.1001
4096,970971.0625,22,968058,2788.54,4.1607,1.0874
8192,1601218.5,22,1.60E+06,4426.64,4.192,1.0865
16384,2691759.25,84,2.70E+06,6749.45,4.2049,1.1058
