num_vertices,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
64,6.94336,0,1.2056,0.23875,0.031648,0.01533
128,7.087936,0,2.7969,0.31805,0.031456,0.017503
256,9.498112,0,7.277,0.49363,0.045828,0.024222
512,18.043743,0,15.2,0.71497,0.045567,0.031392
1024,41.009888,0,33.075,1.3512,0.05968,0.045407
2048,61.012417,0,56.185,1.3587,0.11562,0.05798
4096,109.113983,3,91.742,1.5128,0.22701,0.094913
8192,214.469574,8,199.59,1.6097,0.45869,0.17158
16384,467.721558,19,438.03,1.9155,1.3614,0.5335
32768,1166.911743,44,1105.53,2.8961,2.7712,1.1504
65536,2942.180664,99,2807.25,8.5304,7.065,2.3301
