num_vertices,total,cpu,min_from_cluster_kernel,min_to_cluster_kernel,DtoH,HtoD
64,76.179619,0,2.0273,0.58301,0.03117,0.017184
128,10.366528,0,4.6532,0.81052,0.030748,0.019776
256,17.039104,0,12.775,1.3435,0.046111,0.031488
512,31.470881,0,28.126,1.8206,0.059295,0.044833
1024,73.27533,0,67.443,3.3413,0.11552,0.053279
2048,152.431335,1,126.32,3.59,0.22694,0.083104
4096,290.81662,4,278.52,3.7787,0.46259,0.15155
8192,491.046661,8,470.34,4.75,1.348,0.48713
16384,907.564697,22,865.05,6.6596,3.7265,1.1091
32768,2479.483887,40,2395.21,9.5905,8.4482,2.2037
65536,5915.390137,105,5742.04,24.894,13.958,4.4764
